Search_method Problem Max_evals Run Score
hill_climber_cliff_score knapPI_16_20_1000_4 10000 28 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 29 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 30 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 31 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 32 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 33 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 34 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 35 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 36 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 37 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 38 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 39 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 40 2682N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 41 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 42 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 43 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 44 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 45 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 46 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 47 2886N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 48 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 49 2893N
hill_climber_cliff_score knapPI_11_200_1000_4 10000 0 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 1 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 2 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 3 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 4 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 5 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 6 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 7 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 8 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 9 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 10 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 11 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 12 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 13 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 14 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 15 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 16 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 17 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 18 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 19 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 20 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 21 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 22 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 23 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 24 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 25 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 26 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 27 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 28 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 29 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 30 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 31 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 32 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 33 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 34 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 35 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 36 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 37 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 38 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 39 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 40 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 41 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 42 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 43 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 44 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 45 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 46 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 47 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 48 0
hill_climber_cliff_score knapPI_11_200_1000_4 10000 49 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 0 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 1 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 2 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 3 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 4 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 5 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 6 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 7 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 8 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 9 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 10 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 11 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 12 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 13 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 14 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 15 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 16 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 17 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 18 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 19 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 20 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 21 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 22 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 23 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 24 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 25 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 26 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 27 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 28 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 29 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 30 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 31 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 32 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 33 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 34 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 35 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 36 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 37 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 38 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 39 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 40 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 41 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 42 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 43 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 44 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 45 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 46 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 47 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 48 0
hill_climber_cliff_score knapPI_13_200_1000_4 10000 49 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 0 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 1 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 2 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 3 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 4 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 5 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 6 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 7 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 8 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 9 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 10 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 11 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 12 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 13 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 14 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 15 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 16 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 17 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 18 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 19 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 20 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 21 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 22 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 23 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 24 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 25 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 26 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 27 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 28 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 29 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 30 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 31 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 32 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 33 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 34 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 35 0
